transcript	PFAM_domain	start	end
AT2G46480.4	PF01501	211	526
AT1G08910.1	PF02891	279	327
AT5G02910.3	PF00646	13	47
AT5G18550.3	PF00642	67	92
AT5G18550.3	PF00642	271	295
AT5G18550.3	PF00642	115	139
AT5G18550.3	PF00642	21	46
AT5G18550.3	PF00642	316	339
AT5G57390.2	PF00847	85	143
AT5G57390.2	PF00847	188	237
AT5G24970.3	PF03109	175	437
AT5G11450.2	PF01789	137	296
AT5G09760.2	PF01095	266	570
AT5G09760.2	PF04043	71	215
AT5G56720.1	PF00056	46	192
AT5G56720.1	PF02866	196	365
AT5G15240.3	PF01490	7	329
AT5G65140.3	PF02358	119	328
AT5G13790.2	PF00319	10	57
AT5G13790.2	PF01486	81	167
AT5G23910.2	PF00225	18	317
AT5G23910.2	PF12836	646	692
AT5G47430.4	PF08783	3	76
AT5G47430.4	PF13696	205	225
AT5G06250.5	PF02362	46	158
AT5G09790.1	PF00628	67	113
AT5G09790.1	PF00856	291	366
AT5G62100.5	PF02179	133	196
AT5G24270.5	PF13202	52	73
AT5G24270.5	PF13499	86	155
AT5G47430.5	PF08783	16	89
AT5G47430.5	PF13696	218	238
AT5G10100.1	PF02358	127	361
AT5G25450.3	PF02271	16	85
AT5G01305.1	PF00010	53	92
AT5G11430.5	PF07500	255	342
AT5G11430.5	PF07744	539	604
AT5G11350.4	PF03372	222	486
AT5G51700.2	PF04968	115	175
AT5G51700.2	PF04968	1	28
AT5G13220.5	PF06200	102	131
AT5G40350.2	PF00249	27	70
AT5G06250.4	PF02362	46	158
AT5G41315.2	PF00010	449	495
AT5G41315.2	PF14215	22	214
AT5G51790.4	PF00010	28	79
AT5G13220.6	PF06200	102	131
AT5G11920.3	PF00251	1	306
AT5G11920.3	PF08244	309	503
AT5G49540.2	PF07019	29	105
AT5G25520.3	PF07500	352	441
AT5G25520.3	PF07744	652	718
AT5G65130.2	PF00847	113	161
AT5G04090.6	PF09713	34	85
AT5G15630.3	PF04833	8	171
AT5G58000.2	PF02453	337	486
AT5G41560.2	PF10172	1	39
AT5G59865.1	PF00076	28	98
AT5G40540.4	PF00069	30	248
AT5G26810.1	PF01095	34	329
AT5G17440.2	PF03194	2	172
AT5G17440.2	PF03194	205	282
AT3G57587.1	PF14111	32	170
AT3G57587.1	PF14392	173	220
AT5G23990.2	PF01794	157	275
AT5G23990.2	PF08022	311	405
AT5G23990.2	PF08030	412	683
AT5G01940.2	PF01873	94	204
AT5G27660.2	PF13365	149	295
AT5G27660.2	PF17820	364	416
AT5G27660.2	PF02163	340	431
AT5G25790.3	PF03638	176	210
AT5G25790.3	PF03638	94	129
AT5G51170.3	PF09749	62	217
AT5G62570.3	PF07887	86	230
AT5G62570.3	PF20451	243	288
AT5G25630.3	PF01535	211	239
AT5G25630.3	PF13041	346	390
AT5G25630.3	PF13041	135	180
AT5G25630.3	PF13041	278	325
AT5G25630.3	PF13041	63	109
AT5G65400.2	PF03959	46	243
AT5G53850.4	PF00596	27	139
AT5G53850.4	PF00702	178	389
AT5G57630.2	PF00069	12	264
AT5G57630.2	PF03822	294	351
AT5G62570.1	PF07887	86	230
AT5G62570.1	PF20451	243	308
AT5G62570.1	PF20452	314	376
AT5G44010.2	PF11107	11	154
AT5G02140.2	PF00314	27	241
AT5G14210.2	PF00560	142	164
AT5G14210.2	PF07714	493	783
AT5G14210.2	PF13855	258	317
AT5G14210.2	PF13855	167	225
AT4G24480.2	PF07714	669	923
AT4G24480.2	PF14381	278	486
AT4G00910.1	PF11744	57	460
AT4G33760.2	PF00152	63	502
AT4G33760.2	PF02938	254	353
AT5G66110.2	PF00403	1	54
AT4G37630.3	PF00134	67	173
AT4G32000.3	PF00069	173	440
AT4G26120.2	PF00023	329	355
AT4G26120.2	PF00651	66	188
AT4G26120.2	PF11900	231	271
AT4G26120.2	PF12313	370	572
AT4G08455.1	PF00651	87	192
AT4G01995.3	PF13225	118	198
AT4G37940.2	PF01486	23	109
AT4G36830.2	PF01151	32	247
AT4G35140.2	PF00400	54	87
AT4G35140.2	PF00400	326	361
AT4G31310.2	PF06094	12	123
AT4G11610.2	PF00168	438	544
AT4G11610.2	PF00168	601	707
AT4G11610.2	PF00168	276	377
AT4G11610.2	PF00168	7	97
AT4G11610.2	PF08372	852	1007
AT4G33020.2	PF02535	42	388
AT4G32660.4	PF00069	4	284
AT4G37550.5	PF03069	11	412
AT4G01420.2	PF12763	45	97
AT4G01420.2	PF13499	107	175
AT4G28820.5	PF04438	7	35
AT4G25570.2	PF03188	90	222
AT4G31900.3	PF00176	243	501
AT4G31900.3	PF00385	143	191
AT4G31900.3	PF00385	46	102
AT4G31900.3	PF00271	525	638
AT4G31900.3	PF06461	856	990
AT4G31900.3	PF06465	761	814
AT4G32040.2	PF03789	281	302
AT4G32040.2	PF03790	118	159
AT4G32040.2	PF03791	171	221
AT4G32040.2	PF05920	321	360
AT4G01023.2	PF13920	104	145
AT4G30420.2	PF00892	185	323
AT4G30420.2	PF00892	16	144
AT4G27550.2	PF00982	5	468
AT4G27550.2	PF02358	528	741
AT4G27290.2	PF00954	212	320
AT4G27290.2	PF01453	72	180
AT4G27290.2	PF07714	513	780
AT4G27290.2	PF08276	342	409
AT4G28820.6	PF04438	7	35
AT4G09810.3	PF03151	23	198
AT4G19650.2	PF02536	285	513
AT4G19650.2	PF02536	435	569
AT4G33640.2	PF14705	68	144
AT4G33540.3	PF00753	157	227
AT4G13440.2	PF13202	26	44
AT4G13440.2	PF13202	60	74
AT4G33770.3	PF05770	15	208
AT4G23550.1	PF03106	141	198
AT4G27980.3	PF11926	350	549
AT4G29658.2	PF03208	31	167
AT4G27980.2	PF11926	351	550
AT4G29180.3	PF07714	566	790
AT4G29180.3	PF12819	31	358
AT4G29180.3	PF13855	414	472
AT4G25590.2	PF00241	7	127
AT4G32510.2	PF00955	7	177
AT4G32510.2	PF00955	197	376
AT4G32510.2	PF00955	455	545
AT4G32570.2	PF06200	234	266
AT3G09220.2	PF00394	61	213
AT3G09220.2	PF07731	316	452
AT3G09220.2	PF07732	2	49
AT3G01311.2	PF04601	1	142
AT3G07160.2	PF02364	1025	1709
AT3G07160.3	PF02364	1025	1709
AT3G07160.2	PF14288	334	447
AT3G07160.3	PF14288	334	447
AT3G19080.3	PF02201	268	338
AT3G19080.4	PF02201	268	338
AT3G19080.3	PF02201	121	190
AT3G19080.4	PF02201	121	190
AT3G19080.3	PF02201	386	459
AT3G19080.4	PF02201	386	459
AT3G19080.3	PF08766	2	55
AT3G19080.4	PF08766	2	55
AT3G02610.2	PF03405	79	407
AT3G06290.3	PF03399	283	576
AT3G06290.3	PF16769	914	1254
AT3G54480.7	PF12937	42	80
AT3G19900.2	PF11267	117	157
AT3G12360.2	PF00023	289	315
AT3G12360.2	PF12796	66	178
